Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG
2013-09-18,106.43190002441406,31.83061981201172,39.82259750366211,23.190000534057614,68.39299011230469,16.492311477661133,52.58000183105469,3.9300000667572017,79.62504577636719,11.350785255432127,185.8453826904297,24.85706901550293,33.27774810791016,86.5899887084961,52.38000106811523,28.54317283630371,58.124900817871094,55.72172164916992,115.93000030517578,48.25,,134.7535400390625,206.2125244140625,19.07242774963379,46.99241256713867,452.11212158203125,448.7413635253906,28.598896026611328,312.0299987792969,28.86599349975586,17.895170211791992,36.93113327026367,71.57029724121094,46.02733612060547
2013-09-19,106.67759704589844,31.55383682250977,39.39046859741211,22.040000915527344,68.18198394775389,16.444225311279293,51.86999893188477,3.9500000476837163,79.97186279296875,11.300890922546387,184.8382568359375,24.57636260986328,34.397811889648445,87.10458374023438,52.77000045776367,28.52949333190918,58.42816162109375,56.09625625610352,114.02999877929688,47.66999816894531,,134.07539367675778,205.89942932128903,19.011638641357425,47.71788787841797,449.6446533203125,446.29229736328125,28.60688400268555,312.05999755859375,28.808000564575195,18.172983169555664,36.81573867797852,71.50578308105469,45.381103515625
2013-09-20,105.30870819091795,31.50918960571289,39.75611877441406,21.38999938964844,67.97977447509766,16.338443756103516,52.31000137329102,3.829999923706055,79.91239166259766,11.126263618469238,184.1075897216797,24.63961410522461,35.18722915649414,85.95658874511719,52.709999084472656,28.31978416442871,58.05137634277344,54.83950805664063,113.6500015258789,47.59000015258789,,131.26600646972656,205.23406982421875,18.75328063964844,47.15565872192383,452.0070190429688,448.6370544433594,28.407114028930664,316.3399963378906,28.66714859008789,18.096345901489254,36.04102325439453,71.27532196044922,45.46302795410156
2013-09-23,106.27393341064452,31.35740089416504,39.14115524291992,18.8799991607666,67.13573455810547,16.309593200683597,51.79999923706055,3.7899999618530273,79.06029510498047,11.234366416931152,181.92544555664062,24.517053604125977,34.863357543945305,85.04613494873047,51.97999954223633,28.62978744506836,57.913536071777344,55.13911437988281,112.5,47.45000076293945,,134.2691650390625,204.3436737060547,19.095224380493164,47.30073928833008,443.6936950683594,440.3857116699219,28.167394638061523,311.489990234375,29.02341270446777,18.067607879638672,36.53551864624024,70.46412658691406,44.743988037109375
2013-09-24,106.00192260742188,30.6788330078125,38.21041870117188,20.450000762939453,66.06310272216797,16.280744552612305,51.41999816894531,3.7999999523162837,79.36742401123047,11.242684364318848,181.97483825683597,24.521005630493164,34.816123962402344,84.8798828125,51.93000030517578,29.05832290649414,57.408103942871094,54.4649658203125,113.58999633789062,47.47999954223633,,134.97636413574222,206.1538391113281,19.049631118774414,46.9289436340332,443.8638610839844,440.55462646484375,28.031551361083984,314.1300048828125,29.321685791015625,18.192142486572266,36.436622619628906,70.12305450439453,44.81679916381836
2013-09-25,105.47541046142578,30.062747955322266,37.67026138305664,18.93000030517578,66.92472839355469,16.299978256225586,51.86999893188477,3.910000085830689,80.71501159667969,11.234366416931152,181.1059417724609,24.59612464904785,34.9713134765625,84.96693420410156,52.08000183105469,28.916996002197266,57.22431182861328,54.42335510253906,113.0500030517578,47.41999816894531,,134.74385070800778,205.009033203125,19.015439987182614,46.8019905090332,439.0540466308594,435.7806701660156,27.79982185363769,312.6499938964844,29.36310577392578,18.374162673950195,36.09047317504883,70.04929351806639,45.0898551940918
2013-09-26,105.87907409667969,30.053821563720703,37.39602279663086,18.63999938964844,66.70492553710939,16.357677459716793,52.099998474121094,3.890000104904175,80.9329833984375,11.300890922546387,182.48829650878903,24.714733123779297,35.146743774414055,86.91458129882812,52.77000045776367,29.27258682250977,57.84920883178711,54.57474136352539,115.97000122070312,48.08000183105469,,138.21199035644528,206.63330078125,19.07242774963379,46.566200256347656,439.5245361328125,436.2476196289063,27.96762466430664,318.1199951171875,29.131122589111328,18.6519775390625,35.966854095458984,70.35349273681639,45.0079345703125
2013-09-27,105.49297332763672,29.58952331542969,36.83922958374024,18.75,65.13995361328125,16.174964904785153,52.02999877929688,3.859999895095825,81.30949401855469,11.201104164123537,181.6194000244141,24.59612464904785,34.94894027709961,85.31002044677734,51.75,28.989938735961914,57.683799743652344,54.07011032104492,116.41999816894531,47.77999877929688,,139.791015625,204.7741851806641,18.88625907897949,46.31228637695313,438.6336364746094,435.3633728027344,27.73588943481445,316.010009765625,29.0068416595459,18.278362274169922,35.8020133972168,69.95709991455078,44.73489761352539
2013-09-30,104.78221130371094,29.634172439575195,37.17164611816406,19.059999465942386,64.74430847167969,16.04033088684082,51.93999862670898,3.809999942779541,81.92384338378906,11.051426887512207,180.33578491210938,24.50914192199707,34.691707611083984,84.96720886230469,51.70000076293945,28.54772758483887,57.84001922607422,53.70006561279297,116.16000366210938,48.099998474121094,,139.50044250488278,206.9170379638672,18.825469970703125,45.84074020385742,438.3934020996094,435.12493896484375,27.44821929931641,312.6400146484375,28.86599349975586,18.163402557373047,35.72782897949219,69.61602783203125,44.2615966796875
2013-10-01,104.96646881103516,30.16096305847168,38.06083297729492,19.13999938964844,64.90257263183594,16.251895904541016,52.43000030517578,3.859999895095825,82.71652221679688,11.126263618469238,182.666015625,25.074525833129886,35.13169479370117,85.397705078125,52.41999816894531,29.74671745300293,58.52924346923828,54.25515365600586,117.38999938964844,49.2599983215332,,140.56607055664062,209.7447967529297,19.06862449645996,46.00396728515625,443.9439392089844,440.63409423828125,27.73588943481445,320.95001220703125,28.89084243774414,18.86273765563965,36.03278350830078,69.99400329589844,44.68937683105469
2013-10-02,104.5979232788086,30.26811218261719,38.185489654541016,18.88999938964844,64.63002014160156,16.146116256713867,51.52000045776367,3.900000095367432,81.8643798828125,11.101319313049316,183.4954071044922,24.99150276184082,34.908321380615234,85.43760681152344,52.22000122070313,29.5871524810791,58.6027717590332,54.29718780517578,116.75,48.86999893188477,,141.80606079101562,209.32406616210938,19.011638641357425,46.42111587524414,444.439453125,441.12591552734375,27.76785469055176,320.510009765625,28.948841094970703,19.006431579589844,36.164649963378906,68.95840454101561,44.7985954284668
2013-10-03,104.02755737304688,29.72345733642578,38.2353401184082,19.100000381469727,64.30471038818361,16.021099090576172,50.88000106811523,3.900000095367432,81.15097045898438,11.018162727355957,183.63363647460938,24.87289047241211,34.56309127807617,84.05828857421875,51.15999984741211,29.541561126708984,58.76818466186523,53.37206268310547,114.22000122070312,47.86999893188477,,139.97509765625,207.8954925537109,18.76848602294922,46.1490592956543,438.4834899902344,435.21435546875,27.72790336608887,314.760009765625,28.60914802551269,19.619543075561523,35.71134948730469,68.44062042236328,44.46183395385742
2013-10-04,104.7734146118164,29.96453666687012,38.891849517822266,19.229999542236328,64.41021728515625,16.232664108276367,51.56999969482422,3.910000085830689,82.39945220947266,11.126263618469238,186.12185668945312,25.19709777832031,35.05045700073242,84.7598876953125,52.31999969482422,29.53244209289551,59.41146087646485,53.28795623779297,116.44000244140624,45.79999923706055,,142.30979919433594,213.1694793701172,18.738086700439453,47.473045349121094,436.6116027832031,433.3564453125,27.687950134277344,319.0400085449219,28.617435455322266,19.667442321777344,35.71959686279297,68.70876312255861,45.08075714111328
